"status","label","ngram forms",,
"w","data-driven","data-driven",,
"w","light-matter interaction","light-matter interaction",,
"w","segmentation","segmentation",,
"w","optical/photonic","optical/photonic",,
"w","teleportation","teleportation",,
"w","pmm","pmm",,
"w","conciousness","conciousness",,
"w","miniaturization","miniaturization",,
"w","120 ghz","120 ghz",,
"w","1o micron atmospheric window","1o micron atmospheric window",,
"w","2d user symbols","2d user symbols",,
"w","3-d platform","3-d platform",,
"w","3-dimensional neuronal interface","3-dimensional neuronal interface",,
"w","3d audio","3d audio",,
"w","3d computer graphics and vision","3d computer graphics and vision",,
"w","3d deformable object analysis","3d deformable object analysis",,
"w","3d description language","3d description language",,
"w","3d display","3d display",,
"w","3d facial capturing","3d facial capturing",,
"w","3d image analysis and visualization","3d image analysis and visualization",,
"w","3d image processing","3d image processing",,
"w","3d integration","3d integration",,
"w","3d media","3d media",,
"w","3d neuronal cultures","3d neuronal cultures",,
"w","3d noc","3d noc",,
"w","3d objects","3d objects",,
"w","3d primitives","3d primitives",,
"w","3d scene analysis","3d scene analysis",,
"w","3d sonar","3d sonar",,
"w","3d systems integration","3d systems integration",,
"w","3d two-photon laser lithography","3d two-photon laser lithography",,
"w","3d user interfaces","3d user interfaces",,
"w","3d visualisation","3d visualisation",,
"w","3d-algorithms","3d-algorithms",,
"w","3d-graphic displays","3d-graphic displays",,
"w","4-dimensionality","4-dimensionality",,
"w","4d digital images","4d digital images",,
"w","4th generation","4th generation",,
"w","5/2 fractional states","5/2 fractional states",,
"w","60ghz radio transceivers","60ghz radio transceivers",,
"w","abacus","abacus",,
"w","abilities for self reflection","abilities for self reflection",,
"w","abnormal economy signalling","abnormal economy signalling",,
"w","abrupt nanoelectronic switches","abrupt nanoelectronic switches",,
"w","abstract foundations for data mining","abstract foundations for data mining",,
"w","accelerometer","accelerometer",,
"w","access points","access points",,
"w","access to internet","access to internet",,
"w","accessibility","accessibility",,
"w","acoustic array processing","acoustic array processing",,
"w","acoustic assessment","acoustic assessment",,
"w","acoustic attention","acoustic attention",,
"w","acoustic communication","acoustic communication",,
"w","acoustic computing","acoustic computing",,
"w","acoustic design","acoustic design",,
"w","acoustic events detection","acoustic events detection",,
"w","acoustic probing","acoustic probing",,
"w","acoustic self-calibration","acoustic self-calibration",,
"w","acoustics","acoustics",,
"w","action potential","action potential""w","teleportation","teleportation"
"w","action recognition","action recognition",,
"w","active circuits","active circuits",,
"w","active computer vision","active computer vision",,
"w","active identification","active identification",,
"w","active learning","active learning",,
"w","active optical waveguides","active optical waveguides",,
"w","active orthosis","active orthosis",,
"w","active pixel backplane","active pixel backplane",,
"w","active recommender systems","active recommender systems",,
"w","activity recognition","activity recognition",,
"w","activity-centred human models","activity-centred human models",,
"w","activity-dependent stimulus-response loops","activity-dependent stimulus-response loops",,
"w","actor-sensor networks","actor-sensor networks",,
"w","actuators","actuator ***  actuators",,
"w","ad-hoc wireless network","ad-hoc wireless network",,
"w","adaptation methods for evolving networked services","adaptation methods for evolving networked services",,
"w","adaptative learning","adaptative learning",,
"w","adaptive architectures","adaptive architectures",,
"w","adaptive coding","adaptive coding",,
"w","adaptive critic","adaptive critic",,
"w","adaptive embedded systems","adaptive embedded systems",,
"w","adaptive learning","adaptive learning",,
"w","adaptive micro antenna arrays","adaptive micro antenna arrays",,
"w","adaptive mobile uis","adaptive mobile uis",,
"w","adaptive music","adaptive music",,
"w","adaptive networks","adaptive networks",,
"w","adaptive neural hardware","adaptive neural hardware",,
"w","adaptive search","adaptive search",,
"w","adaptive speech synthesis","adaptive speech synthesis",,
"w","adaptive systems","adaptive systems  *** adaptive system",,
"w","adaptivity","adaptivity",,
"w","adative content creation","adative content creation",,
"w","adc","adc",,
"w","address-event","address-event",,
"w","address-event-representation","address-event-representation",,
"w","adiabatic quantum information","adiabatic quantum information",,
"w","adni","adni",,
"w","adolescents","adolescents",,
"w","advanced cross-layer network design","advanced cross-layer network design",,
"w","advanced knowledge management","advanced knowledge management",,
"w","advanced lasers","advanced lasers",,
"w","aer","aer",,
"w","aerial image understanding","aerial image understanding",,
"w","aerial imaging","aerial imaging",,
"w","aerospace","aerospace",,
"w","aesthetics","aesthetics",,
"w","affect sensing engine","affect sensing engine",,
"w","affective audiovisual content analysis","affective audiovisual content analysis",,
"w","affective computing","affective computing",,
"w","affective information","affective information",,
"w","affective neuroscience","affective neuroscience",,
"w","affective reasoning","affective reasoning",,
"w","affective state","affective state",,
"w","affordances","affordability *** affordances",,
"w","afm tips","afm tips",,
"w","age groups","age groups",,
"w","agent-based modeling","agent based modeling  *** agent-based modeling",,
"w","agent-based simulation","agent-based simulation",,
"w","agent-based systems","agent-based systems",,
"w","aggregated ecological cost","aggregated ecological cost",,
"w","agile model of contextualized attention","agile model of contextualized attention",,
"w","agoras","agoras",,
"w","air turbulence","air turbulence",,
"w","airborne laser scanning","airborne laser scanning",,
"w","alcohol","alcohol",,
"w","ald","ald",,
"w","algan","algan",,
"w","algebraic automata theory","algebraic automata theory",,
"w","algebraic coding","algebraic coding",,
"w","algebraic cryptography","algebraic cryptography",,
"w","algebraic nets","algebraic nets",,
"w","algorithm animation","algorithm animation",,
"w","algorithm engineering","algorithm engineering",,
"w","algorithm invariant","algorithm invariant",,
"w","algorithm visualization","algorithm visualization",,
"w","algorithmic technology","algorithmic technology",,
"w","algorithmics","algorithmics",,
"w","algorithms and data structures","algorithms and data structures",,
"w","algorithms and models of computation","algorithms and models of computation",,
"w","algorithms for sensor networks","algorithms for sensor networks",,
"w","alkaline earth metals","alkaline earth metals",,
"w","all optical modulation","all optical modulation",,
"w","all optical processing","all optical processing",,
"w","all optical switch","all-optical switching  *** all optical switching  *** all optical switch",,
"w","all-fibre component","all-fibre component",,
"w","all-optical","all-optical",,
"w","all-optical processing","all-optical processing",,
"w","all-optical signal processing","all-optical signal processing",,
"w","alternative fabrication technology","alternative fabrication technology",,
"w","alzheimer's disease","alzheimer's disease",,
"w","amazon-ec2","amazon-ec2",,
"w","ambient intelligence","ambient intelligence",,
"w","ambient semantic embedding","ambient semantic embedding",,
"w","ambient technology","ambient technology",,
"w","ami","ami",,
"w","amplification of single photon states","amplification of single photon states",,
"w","ampullae of lorenzini","ampullae of lorenzini",,
"w","amputation","amputation *** amputee",,
"w","anaerobic digestion","anaerobic digestion",,
"w","analysis of statistical internet raw-data","analysis of statistical internet raw-data",,
"w","analytical cost model","analytical cost model",,
"w","ancient manuscript","ancient manuscript",,
"w","animal embryogenesis","animal embryogenesis",,
"w","animal swarming","animal swarming",,
"w","animal welfare","animal welfare",,
"w","animal-robot interaction","animal-robot interaction",,
"w","anisotropic colloids","anisotropic colloids",,
"w","annealing","annealing",,
"w","annotations"," annotation *** annotations",,
"w","annular bragg gratings","annular bragg gratings",,
"w","anonymity","anonymity",,
"w","antennas","antenna  *** antennas",,
"w","anthroplogy","anthroplogy",,
"w","anti-cancer therapy","anti-cancer therapy",,
"w","anti-counterfeiting","anti-counterfeiting",,
"w","antibodies","antibodies",,
"w","antidots","antidots",,
"w","antimonide quantum wells","antimonide quantum wells",,
"w","any-core processors","any-core processors",,
"w","anyons","anyons",,
"w","anytime algorithm","anytime algorithm",,
"w","aperiodic dna nanonetworks","aperiodic dna nanonetworks",,
"w","api","api",,
"w","application runtimes","application runtimes",,
"w","applications authoring","applications authoring",,
"w","applied mathematics","applied mathematics",,
"w","applied optics","applied optics",,
"w","applied perception","applied perception",,
"w","architecture of computational engines","architecture of computational engines",,
"w","architecture of network systems","architecture of network systems",,
"w","archive","archive",,
"w","cardiovascular diseases","cardiovascular diseases",,
"w","arrays of microelectrodes","arrays of microelectrodes",,
"w","art","art",,
"w","artefact","artefact",,
"w","artificial agents","artificial agents *** artificial-agents *** artificial agent ",,
"w","artificial clone","artificial clone",,
"w","artificial cognition","artificial cognition",,
"w","artificial eukaryotic cells","artificial eukaryotic cells",,
"w","artificial immune system","artificial immune system",,
"w","artificial intelligence","artificial intelligence",,
"w","artificial intelligence rules extraction","artificial intelligence rules extraction",,
"w","artificial life","artificial life *** artificial living organism",,
"w","artificial magentic conductors","artificial magentic conductors",,
"w","artificial muscles","artificial muscles",,
"w","artificial neural networks","artificial neural networks",,
"w","artificial perception","artificial perception",,
"w","artificial receptors","artificial receptors",,
"w","artificial retina","artificial retina",,
"w","artificial sensory systems","artificial sensory systems",,
"w","artificial systems","artificial systems",,
"w","artificial vestibular system","artificial vestibular system",,
"w","artificial vision systems"," artificial visual system *** artificial vision systems *** artificial vision",,
"w","as-built analysis","as-built analysis",,
"w","aspect-oriented software development","aspect-oriented software development",,
"w","assisted living","assisted living",,
"w","assistive companion technology","assistive companion technology",,
"w","assistive robotics","assistive robotics",,
"w","assistive systems","assistive systems",,
"w","assistive technologies","assistive technologies",,
"w","astrocites","astrocites",,
"w","asymptotic structure","asymptotic structure",,
"w","asynchronous communication","asynchronous communication",,
"w","atom chips","atom chips",,
"w","atom trapping","atom trapping",,
"w","atomic clock precision","atomic clock precision",,
"w","atomic ensembles","atomic ensembles",,
"w","atomic force microscopes","atomic force microscopes",,
"w","atomic interactions","atomic interactions",,
"w","atomic layer deposition","atomic layer deposition",,
"w","atom-photon","atom-photon",,
"w","atomic physics","atomic physics",,
"w","atoms","atoms *** atom",,
"w","attack detection","attack detection",,
"w","attack verification","attack verification",,
"w","attention modeling","attention modeling",,
"w","attosecond science","attosecond science",,
"w","audience response measurements","audience response measurements",,
"w","audio and haptic feedback","audio and haptic feedback",,
"w","audio and speech processing","audio and speech processing",,
"w","audio processing","audio processing",,
"w","audio video processing","audio video processing",,
"w","audio-motor control","audio-motor control",,
"w","audio-visual temporal dynamics","audio-visual temporal dynamics",,
"w","audio-visual virtual environments","audio-visual virtual environments",,
"w","audioguide","audioguide",,
"w","audiovisual","audiovisual",,
"w","audiovisual perception","audiovisual perception",,
"w","audit"," auditing *** audit",,
"w","audition","audition",,
"w","auditory","auditory",,
"w","auditory experience","auditory experience",,
"w","auditory feature extraction","auditory feature extraction",,
"w","auditory modelling","auditory modelling",,
"w","auditory processing","auditory processing",,
"w","augmented microscope","augmented microscope",,
"w","augmented reality","augmented reality",,
"w","auralization","auralization",,
"w","authentication","authentication",,
"w","authenticity","authenticity",,
"w","authoring","authoring",,
"w","auto adaptive","auto adaptive *** auto-adaptive",,
"w","auto-assembly","auto-assembly",,
"w","auto-organization","auto-organization",,
"w","auto-stereoscopy","auto-stereoscopy",,
"w","automata","automata",,
"w","automated algorithm configuration","automated algorithm configuration",,
"w","automated decision-making","automated decision-making",,
"w","automated facial expression recognition","automated facial expression recognition",,
"w","automated light-weight integration","automated light-weight integration",,
"w","automated planning","automated planning",,
"w","automated recognition","automated recognition",,
"w","automated software verification","automated software verification",,
"w","automatic analyses","automatic analyses",,
"w","automatic code generation","automatic code generation",,
"w","automatic content acquisition","automatic content acquisition",,
"w","automatic control","automatic control",,
"w","automatic measurement","automatic measurement",,
"w","automatic music transcription","automatic music transcription",,
"w","automatic recognition","automatic recognition",,
"w","automatic speech recognition","automatic speech recognition",,
"w","automatic surgery","automatic surgery",,
"w","automatic-verification","automatic-verification",,
"w","automation","automation *** automation",,
"w","automotive","automotive",,
"w","autonomic","autonomic",,
"w","autonomic adaptation","autonomic adaptation",,
"w","autonomic and emergent behaviours","autonomic and emergent behaviours",,
"w","autonomic computers","autonomic computers",,
"w","autonomic computing","autonomic computing",,
"w","autonomic systems","autonomic systems",,
"w","autonomicity","autonomicity",,
"w","autonomous","autonomous",,
"w","autonomous agents","autonomous agents",,
"w","autonomous airship","autonomous airship",,
"w","autonomous cars","autonomous cars",,
"w","autonomous meaning","autonomous meaning",,
"w","autonomous mobile vehicle","autonomous mobile vehicle",,
"w","autonomous oceanic exploration","autonomous oceanic exploration",,
"w","autonomous robot","autonomous robot",,
"w","autonomous robotics","autonomous robotics",,
"w","autonomous robots","autonomous robots",,
"w","autonomous system","autonomous system",,
"w","autonomous systems","autonomous systems",,
"w","autonomous tasks","autonomous tasks",,
"w","autonomy","autonomy",,
"w","autopoesis","autopoesis",,
"w","autostereoscopy","autostereoscopy",,
"w","auv","auv",,
"$""w""","avatars","avatars",,
"w","avlsi","avlsi",,
"w","awareness","awareness",,
"w","axiomatic bargaining","axiomatic bargaining",,
"w","µ-supercapacitors","µ-supercapacitors",,
"w","back-end-of-line interconnect","back-end-of-line interconnect",,
"w","backhaul","backhaul",,
"w","ballistic devices","ballistic devices",,
"w","band gap engineering","band gap engineering",,
"w","battery fabric","battery fabric",,
"w","battery fiber","battery fiber",,
"w","bayesian estimation","bayesian estimation",,
"w","bayesian inference","bayesian inference",,
"w","bayesian participants","bayesian participants",,
"w","bci","bci",,
"w","bcs","bcs",,
"w","beam quality","beam quality",,
"w","beamforming","beamforming",,
"w","behavioral ecology","behavioral ecology",,
"w","behaviour analysis","behaviour analysis",,
"w","behaviour emotion","behaviour emotion",,
"w","behaviour modelling","behaviour modelling",,
"w","behaviour transfer","behaviour transfer",,
"w","behavioural graphs","behavioural graphs",,
"w","behavioural models","behavioural models",,
"w","behaviroural characterization","behaviroural characterization",,
"w","belief propagation","belief propagation",,
"w","belief theory","belief theory",,
"w","benchmarking","benchmarking",,
"w","best practices","best practices",,
"w","beyond 25gbps","beyond 25gbps",,
"w","beyond cmos","beyond cmos",,
"w","beyond cross-layer network design","beyond cross-layer network design",,
"w","bigraphs","bigraphs",,
"w","binary features","binary features",,
"w","binaural hearing","binaural hearing",,
"w","binding","binding",,
"w","bio membranes"," bio-membranes *** bio membranes",,
"w","bio molecules"," bio-molecules *** bio molecules",,
"w","bio-computing","bio-computing",,
"w","bio-film detection","bio-film detection",,
"w","bio-functionalization","bio-functionalization",,
"w","bio-hybrid materials","bio-hybrid materials",,
"w","bio-ict convergence","bio-ict convergence *** bio-ict convergence",,
"w","bio-ict synergy","bio-ict synergy",,
"w","bio-inspired","bio-inspired *** bioinspired *** bio inspired",,
"w","bio-inspired computing molecular computing","bio-inspired computing molecular computing",,
"w","bio-inspired networking","bio-inspired networking",,
